Codi_Districte,Nom_Districte,Concepte,Rang_soroll,Valor
9,Sant Andreu,PARCS_D,40-45 dB,0.00%
9,Sant Andreu,PARCS_D,45-50 dB,0.00%
9,Sant Andreu,PARCS_D,50-55 dB,0.00%
9,Sant Andreu,PARCS_D,55-60 dB,0.00%
9,Sant Andreu,PARCS_D,60-65 dB,0.00%
9,Sant Andreu,PARCS_D,65-70 dB,0.00%
9,Sant Andreu,PARCS_D,70-75 dB,0.00%
9,Sant Andreu,PARCS_D,75-80 dB,0.00%
9,Sant Andreu,PARCS_D,>=80 dB,0.00%
10,Sant Martí,PARCS_D,<40 dB,99.59%
10,Sant Martí,PARCS_D,40-45 dB,0.29%
10,Sant Martí,PARCS_D,45-50 dB,0.11%
10,Sant Martí,PARCS_D,50-55 dB,0.01%
10,Sant Martí,PARCS_D,55-60 dB,0.00%
10,Sant Martí,PARCS_D,60-65 dB,0.00%
10,Sant Martí,PARCS_D,65-70 dB,0.00%
10,Sant Martí,PARCS_D,70-75 dB,0.00%
10,Sant Martí,PARCS_D,75-80 dB,0.00%
10,Sant Martí,PARCS_D,>=80 dB,0.00%
